LINE,LOC,FW
1,1,142.37
2,1,89.04
3,1,176.5
4,1,162.76
5,1,121.5
6,1,66.6
7,1,202.44
8,1,115.76
9,1,176.2
10,1,161.275
11,1,150.36
12,1,96.5
13,1,200.28
14,1,103.63
15,1,124.36
16,1,112.68
17,1,69.528
18,1,118.96
19,1,156.88
20,1,83.46
21,1,111.76
22,1,154.2
23,1,119.64
24,1,155.6
25,1,134.216
26,1,91.4
27,1,149.064
28,1,151.32
29,1,135.52
30,1,85.18
31,1,109.3
32,1,145.04
33,1,166.936
34,1,123.036
35,1,151.508
36,1,129.04
37,1,120.984
38,1,125.684
39,1,156.544
40,1,115.72
41,1,119.68
42,1,158.14
43,1,156.264
44,1,161.92
45,1,142.65
46,1,91.216
47,1,71.2
48,1,124.28
49,1,100.34
50,1,98.264
51,1,107.66
52,1,135.56
53,1,143.888
54,1,121.712
55,1,120.22
56,1,125.88
57,1,114.268
58,1,172.88
59,1,100.8
60,1,87.48
61,1,97.44
62,1,159.52
63,1,98.344
64,1,103.82
65,1,172.26
66,1,209.32
67,1,106.26
1,2,71.7488631289
2,2,53.1011246244
3,2,92.3784027557
4,2,73.6435903882
5,2,37.4069315536
6,2,38.9481389291
7,2,53.1847155329
8,2,69.7775108701
9,2,85.4403573503
10,2,75.2631642404
11,2,40.1236360799
12,2,63.5813347776
13,2,65.8069427164
14,2,51.2516757739
15,2,61.0088245685
16,2,79.9259696052
17,2,66.5550813475
18,2,72.598704032
19,2,78.3852846729
20,2,99.7197742947
21,2,77.5619142242
22,2,106.6306526549
23,2,58.2816711787
24,2,91.8664084412
25,2,68.1474881544
26,2,50.7318448117
27,2,100.0426441788
28,2,79.4427096654
29,2,56.4238632373
30,2,53.7358930859
31,2,52.5368859921
32,2,80.1427835241
33,2,71.4806756308
34,2,78.1313772883
35,2,55.1438774509
36,2,65.0420859036
37,2,85.4743161568
38,2,78.966241487
39,2,90.5414925415
40,2,61.7486041087
41,2,79.3695676205
42,2,75.6163358288
43,2,72.4106244879
44,2,78.92235626
45,2,75.4867699207
46,2,67.5602620222
47,2,59.8092950315
48,2,64.5321813618
49,2,79.0811789862
50,2,44.1856317898
51,2,67.4996586135
52,2,76.8179551385
53,2,102.2943742765
54,2,85.184360193
55,2,92.7420232077
56,2,83.2126596388
57,2,63.0066472817
58,2,70.8056790447
59,2,47.500533755
60,2,52.0186223594
61,2,47.333351938
62,2,61.5960507007
63,2,58.0956814073
64,2,56.5152907935
65,2,58.6181245854
66,2,99.5254254325
67,2,54.783391658
1,3,83.6251757612
2,3,48.5422915177
3,3,68.8020007046
4,3,93.7241051643
5,3,64.7735705621
6,3,47.5641940038
7,3,98.2984535995
8,3,105.4258524961
9,3,112.3200349177
10,3,144.2494673751
11,3,61.8610585843
12,3,89.9281320164
13,3,74.9748426197
14,3,73.2901057711
15,3,68.9559751695
16,3,93.0800924482
17,3,50.4603024482
18,3,115.56508041
19,3,58.922281922
20,3,73.2967759439
21,3,105.8157135393
22,3,91.7178906081
23,3,73.0388282222
24,3,90.9117746342
25,3,81.4697121736
26,3,95.3256153189
27,3,67.4556143943
28,3,107.4901173683
29,3,91.8646099844
30,3,54.2794588353
31,3,68.8229376008
32,3,103.6034595549
33,3,107.084561454
34,3,93.6700189611
35,3,82.2399665178
36,3,120.7177635315
37,3,47.0473490042
38,3,85.1358363454
39,3,98.8967510563
40,3,79.7233766697
41,3,99.1572518302
42,3,64.9682507203
43,3,118.6963602843
44,3,93.1466224406
45,3,73.781687525
46,3,48.82573389
47,3,54.4080833486
48,3,69.2617087387
49,3,97.3323832568
50,3,58.1248056171
51,3,41.7932858447
52,3,61.4974327007
53,3,98.4765844666
54,3,77.323187722
55,3,77.6311281467
56,3,81.7803445762
57,3,69.3173893081
58,3,86.8530961599
59,3,34.1727463049
60,3,72.9060997817
61,3,79.383710253
62,3,82.6996029029
63,3,86.3712078449
64,3,51.4976755525
65,3,90.2812597075
66,3,129.4350691625
67,3,88.5142591861
