"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X1","22.2518617206331","37.3393639344832","66.000617715068","26.6955916714881","0.146117515962785","0.245190050802718","0.433395031553374","0.175297401681124","0.245904199758512"
"X2","88.9944674182609","149.353917528958","264.093345170024","106.698147438668","0.146098573902826","0.24518821215288","0.43355123330566","0.175161980638633","0.245878054384779"
"X3","356.018324650399","597.245427542062","1056.20194918013","426.949537020531","0.146123829403235","0.245132856719432","0.433506543768263","0.17523677010907","0.245928863724323"
"X4","59.5204400923469","64.1475401544326","247.945950924647","96.4189863373707","0.127171482743472","0.137057753321863","0.52976177881759","0.206008985117074","0.24960733653338"
"X5","16.3472409176578","27.4262699049683","48.4993279152037","19.6057830709748","0.146115858895674","0.245143079719363","0.433499511623291","0.175241549761671","0.245914827720095"
"X6","16.8400554203632","59.9326385265678","14.0054725627843","14.4336449351191","0.160058601682692","0.569637930414231","0.133116922619736","0.137186545283341","0.195241587056142"
"X7","47.6193629053821","38.0635453473086","282.674135264047","52.2495533234322","0.113215920204593","0.0904967863872394","0.672063009443152","0.124224283965016","0.241325584597396"
"X8","6.84071589917377","1.82681364255379","28.7331877566246","10.8065157622025","0.14190227202173","0.0378950113203774","0.596034784251814","0.224167932406079","0.313113060685"
"X9","1787.88390254427","2510.81006020506","3.61691597390633","2025.04754050989","0.282564031319876","0.396818054841497","0.000571631277108007","0.320046282561519","0.359379756529403"
"X10","6.90944332795657","13.9710282421698","16.1842557209524","9.24220406407547","0.149209699838759","0.301704903203756","0.349499637469521","0.199585759487964","0.235367665026942"
"X11","6.90944332795657","13.9710282421698","16.1842557209524","9.24220406407547","0.149209699838759","0.301704903203756","0.349499637469521","0.199585759487964","0.235367665026942"
"X12","1.62485670052754","3.08284053132118","4.33824997665725","1.93669127460937","0.147947754360265","0.280701266463494","0.395009813290937","0.176341165885304","0.23897255751537"
"X13","1.55257925032192","2.84531662531808","4.2342520424358","1.96587494725747","0.146497065542338","0.268476173478099","0.39953226146419","0.185494499515373","0.240166147972551"
"X14","6.35401564501222","11.8514205033316","16.165145547313","8.78320573122586","0.147241204628403","0.274632221410739","0.374593900354686","0.203532673606172","0.239579318270995"
"X15","1.52338149134211","2.75242211512942","4.20897189420113","1.96058139126765","0.145842933573439","0.263506756504721","0.402951468077533","0.187698841844307","0.240572359288268"
"X16","14.0994599563179","26.027620621389","36.044340162004","19.8842966062086","0.146784182617078","0.270963783734573","0.375244089138388","0.207007944509961","0.239909301897873"
"X17","0.0105510281693135","0.100444498980042","0.0115788308116015","0.0139422764879387","0.0772874910951839","0.735767471748235","0.0848162632952688","0.102128773861312","0.0882912291742357"
"X18","0.0105510281693135","0.100444498980042","0.0115788308116015","0.0139422764879387","0.0772874910951839","0.735767471748235","0.0848162632952688","0.102128773861312","0.0882912291742357"
"X19","0.0105510281693135","0.100444498980042","0.0115788308116015","0.0139422764879387","0.0772874910951839","0.735767471748235","0.0848162632952688","0.102128773861312","0.0882912291742357"
"X20","0.00265325559329315","0.0248723868389381","0.00245143503962617","0.00381051387184889","0.0785275152141728","0.736139684712125","0.0725543000295227","0.112778500044179","0.0895977878111378"
"X21","0.00263773738173233","0.0251107541602393","0.00286699511137045","0.0035132632073974","0.0772878406767161","0.735765425417057","0.0840052777517216","0.102941456154506","0.0882917426190651"
"X22","1e-10","1.75280779239829e-06","4.59575340988738e-06","1.38913752410072e-06","1.29235721341515e-05","0.226525379423621","0.593935507034522","0.179526189969723","2.66818117108142e-05"
"X23","1e-10","1.75280779239829e-06","4.59575340988738e-06","1.38913752410072e-06","1.29235721341515e-05","0.226525379423621","0.593935507034522","0.179526189969723","2.66818117108142e-05"
"X24","1691.31770428518","2861.86936403956","320.817175100501","1635.52971621064","0.259821626981693","0.43964274275015","0.0492842002345812","0.251251430033576","0.324922065471332"
