"line","enzy1","enzy2","enzy3","enzy4","enzy5","enzy6","enzy7","enzy8"
1,329.815287333613,535.174016741799,1087.37122325051,58541.7021041741,1173.71420787743,578.633831321266,509.074998836505,5135.78155918861
2,320.294295607944,660.524285965276,1034.31422453098,60424.008226217,1170.2029617347,533.606449052574,516.154423108988,5161.88318031831
3,365.382579665389,531.378602207561,1006.73577992477,60774.651076193,1161.1110211081,539.704975740367,518.216956249172,5317.65614888317
4,330.307215508368,619.710769933541,969.599460946626,60818.8241709835,1164.39441668047,599.655658709524,512.00187044583,5129.47871813648
5,339.166940359929,613.48828315963,1056.74491512841,60687.3055027811,1204.51911777505,546.2916349124,511.8781430504,5216.85269321706
6,338.313238170048,545.454831761684,1121.55820325179,61441.8606483437,1172.27607213281,523.787783725134,484.222562949384,5136.00380433244
7,286.431101470161,590.348091059537,1062.19544234721,61374.7583970599,1136.58147832157,547.77598331619,534.773423900911,5058.9216780132
8,337.135049522422,618.73442171629,1059.15933400498,60097.6041706927,1136.0624925359,576.012279492789,565.323332381322,5198.09652938622
9,332.931145628873,615.039881281913,1097.71584383046,62286.6559736599,1166.84108522929,618.581485326661,578.323158418939,5281.53117922064
10,338.436767645459,574.676029624395,1071.92227581983,61020.6178664252,1246.55984606909,565.952919822779,557.13932184235,5285.55116498727
11,329.402873992872,553.780783046134,1023.87398619857,59877.4921513162,1134.13883658413,521.791506935824,516.073228379597,5139.89657592194
12,337.55767362465,553.593354080969,1004.67573432826,61508.0208967571,1123.66284084532,544.244623796396,506.219331884426,5179.40712204152
13,325.147890875284,591.052740124803,1068.46257422634,59762.0852461001,1161.39506847784,549.819160120131,521.663235767536,5453.67776085073
14,309.995943637927,533.599467256528,1028.96763488976,61213.2958434056,1181.74365983915,548.392382486523,519.665252870878,5175.07245101549
15,362.914345796436,596.223121244581,1068.49119190271,60310.9721693594,1190.68725816605,568.478737699316,558.677118330884,5555.5872019584
16,349.518467797153,640.389190373364,1132.82939874641,61168.4876374039,1133.83441056645,575.839925641556,506.07217537563,5432.28659960302
17,307.702215007186,540.476144291735,1055.62200016669,60280.9645749884,1163.2035585462,548.315142691593,498.177934056342,5255.79254681836
18,372.447521747352,642.980018172938,1095.76604877621,61041.5965333283,1164.42821131519,617.81528334271,508.542767606998,5174.73748064955
19,330.235037737729,594.988012212114,1075.67823650719,61473.2583248531,1208.53160130401,540.104293200341,491.687368280324,5151.00364413827
20,318.477780671274,577.503891039069,1046.63822961862,59273.9991411715,1136.42870084793,613.877188043631,519.400104078023,5201.96579081001
21,366.252380470148,579.992238826007,1051.0862952353,61960.9542325954,1120.71840389438,597.896269779498,515.761431174576,5423.07173305048
22,298.526746954056,604.829581066417,1028.23588955414,59276.3841064444,1158.31273854958,548.549714672459,561.602801132341,5237.6649513269
23,340.346439400771,624.94262312282,1051.05417918699,60513.8613168248,1178.62131821893,514.99846295724,511.978073029456,5352.83142827855
24,344.423200510936,622.722771079503,1124.46011248313,61757.3087832406,1128.26297553393,581.895802424164,607.122423728977,5241.55835467103
25,338.585264608264,593.360955487796,1031.0491008756,59766.3548670842,1203.53328771571,543.439439971289,455.337853500038,5301.03220361701
26,328.202866815734,597.737487498287,1033.36113690754,60667.5258680744,1160.40365374892,574.078999699672,558.630618635343,5345.39157115426
27,298.534446218606,652.273134873837,1036.89179395715,62560.6537472478,1146.99753037437,561.159979699293,479.105437793864,5264.55816739916
28,331.910408908823,620.812076989988,1042.31755106786,60107.3964610922,1186.73303120168,509.953980525685,536.711883796631,5239.42144464919
29,310.410649028163,581.1302792189,1054.49857507613,59204.8877744427,1118.59440802421,540.338806486386,492.406991325025,5172.04609269211
30,315.09271791494,595.981937941082,1024.05859314078,59859.5029849592,1160.47829014461,540.217108116216,495.167300891012,5360.18961490739
31,321.752390132579,560.979361503346,990.355367217817,59443.2967248637,1160.89789483928,548.253385856695,513.761864646295,5308.24451919802
32,327.426034337561,618.58660717896,1051.61504406394,59489.3888890833,1173.06870143118,524.888035020919,509.149608306561,5221.89082832007
33,318.569424381378,588.636095850426,1073.6267054081,60077.5523261576,1161.96210045664,571.716285296496,509.077321464096,5298.21567952583
