LINE,LOC,enzy1,enzy2,enzy3,enzy4,enzy5,enzy6,enzy7,enzy8
1,1,431.126,599.41,1126.526,56024.6,1210.816667,607.386,349.08,5112.2775
2,1,400.8225,573.835,1113.0525,58713.7375,967.69,514.9025,323.4425,5566.775
3,1,321.082,416.224,872.076,53101.896,741.946,414.002,319.518,6963.223333
4,1,416.052,656.576,685.356,53537.594,942.86,562.902,320.498,4224.4375
5,1,399.54,596.156,1092.036,61303.18,1081.948,525.192,312.644,3739.706667
6,1,465.044,580.14,1255.9,64801.32,1117.24,574.244,332.906,4903.17
7,1,270.276,493.486,1043.256,58373.918,959.276,426.034,330.472,3817.404
8,1,405.614,602.878,987.682,52860.528,843.314,524.07,350.032,5021.774
9,1,418.056,539.61,1157.936,60138.504,1034.39,602.374,381.544,6124.3125
10,1,425.6925,469.7925,1170.24,64461.835,1690.363333,532.8075,358.95,7154.79
11,1,423.176,414.144,970.15,57033.772,852.612,424.254,298.274,3994.795
12,1,440.424,483.622,1081.382,65926.522,750.932,524.968,353.666,5269.586667
13,1,440.196,527.188,1090.606,55413.246,964.006,562.958,302.138,6905.2475
14,1,406.062,487.384,1014.352,71905.474,1238.26,495.458,273.648,4052.4925
15,1,440.612,556.579,1132.473,52350.87,1034.69875,550.566,346.052,10478.22714
16,1,498.924,623.472,1269.18,70382.528,1025.978,626.906,284.914,7828.6475
17,1,333.334,469.71,1131.594,61076.42,782.0775,513.564,352.176,4993.626
18,1,516.07,657.82,1122.555,60027.16,847.6475,650.72,323.735,4486.345
19,1,426.084,506.826,1119.278,61804.012,1316.455,589.73,296.78,5822.83
20,1,344.494,451.736,861.338,49786.93,824.596,467.556,301.49,4492.36
21,1,455.79,432.8,962.796,55207.22,834.646,598.778,296.03,10726.09
22,1,329.15,564.878,1023.436,46441.204,848.0975,461.646,341.678,6324.41
23,1,425.038,616.07,1031.534,60391.836,1087.78,454.636,369.31,7509.71
24,1,448.785,608.3725,1362.84,59226.02,909.835,599.775,413.3675,4975.023333
25,1,432.8675,506.7725,1040.49,53373.4725,840.5225,448.9925,268.245,4300.095
26,1,378.958,593.158,1161.28,51787.96,869.6575,574.01,409.34,6680.063333
27,1,338.66,599.304,1017.636,57671.154,782.57,546.972,298.518,5206.4375
28,1,451.736,550.28,1026.22,62033.206,765.046,493.694,320.442,5342.9175
29,1,440.4825,528.59,1049.9525,53176.9975,822.1625,556.135,302.1175,3930.185
30,1,411.256,540.054,1019.406,53651.132,1234.004,548.63,287.3,6530.195
31,1,386.952,457.308,1019.662,55861.348,784.952,475.27,362.73,5620.095
32,1,399.35,674.7875,1241.5675,56235.34,1268.815,443.8425,336.6075,5131.493333
33,1,490.584,613.69,1239.006,59973.612,1108.225,556.764,305.194,5747.158
34,1,304.532,496.056,952.312,44351.634,680.354,549.66,327.024,6188.168
35,1,376.788,493.392,1175.944,67065.56,1090.09,510.944,288.904,7058.788
36,1,437.336,550.3875,1204.544,66287.634,1118.8075,447.038,287.376,7415.895
37,1,495.63,552.455,1272.4425,53440.5325,940.9825,561.6425,310.66,4074.523333
38,1,417.732,565.16,1054.68,54119.514,929.262,494.806,310.634,6159.61
39,1,413.702,551.846,1091.934,55885.01,1234.412,567.082,343.724,5538.546
40,1,440.782,512.062,1002.94,52937.384,1026.796,502.418,271.112,3642.6625
41,1,479.924,529.18,1045.222,58829.62,1016.5725,595.69,291.522,3698.1525
42,1,374.82,531.776,1078.592,55148.56,925.034,526.092,287.488,4079.716
43,1,412.616,451.262,1296.154,52992.658,1295.3575,547.578,409.154,4783.4775
44,1,346.5825,527.8925,1105.16,60228.295,803.2025,494.955,233.97,5320.6575
45,1,418.63,666.474,1051.816,59703.396,1069.142,592.762,256.918,4994.1525
46,1,446.116,455.894,1171.446,59974.096,601.576,615.47,301.93,10586.86
47,1,463.966,528.084,1031.894,56032.098,1061.834,638.382,376.058,8748.7525
48,1,447.446,698.97,1253.482,62558.46,1173.652,678.56,346.348,5525.59
49,1,440.588,516.672,1049.248,54442.73,867.342,636.45,334.31,4631.8475
50,1,403.966,518.35,1125.694,59552.95,713.286,551.732,319.164,4605.45
51,1,699.228,986.166,1478.05,76081.61,1348.5375,771.926,444.874,11970.688
52,1,168.388,449.66,887.234,48344.676,877.41,479.356,330.652,5781.6325
53,1,402.782,501.244,941.156,49634.388,829.32,417.492,245.06,3073.258
54,1,294.272,469.546,825.766,48703.394,955.105,494.118,281.278,5004.075
55,1,321.636,409.865,716.476,42353.714,932.646,463.042,337.752,5406.723333
56,1,383.206,487.8,1043.73,55173.13,915.188,522.13,281.442,2203.48
57,1,480.136,574.726,1124.86,63676.514,1245.114,754.178,320.874,3364.13
58,1,488.114,651.134,1179.784,56586.376,850.346,504.726,325.316,5597.445
59,1,363.1025,586.7525,869.225,57545.43,915.805,488.245,408.99,4929.33
60,1,533.282,596.836,1155.712,67303.254,945.314,587.742,348.896,4296.646
61,1,430.784,391.556,1091.036,52046.204,874.375,515.07,287.076,5147.54
62,1,425.44,434.93,1021.2375,62649.0725,887.79,459.465,293.49,5012.413333
63,1,466.414,581.578,1177.976,64286.846,898.214,603.284,302.38,1434.166
64,1,368.546,674.1,1107.09,55085.432,1179.715,492.582,305.256,8000.37
65,1,358.82,552.768,1139.804,51339.35,1473.605,486.432,277.632,2597.53
66,1,372.192,530.2325,955.082,58730.308,1141.142,415.55,351.418,6590.0225
67,1,555.964,720.462,1317.702,67328.434,1320.844,811.512,377.518,4551.45
1,2,134.455,315.8633333,843.86,45885.34667,494.71,331.5533333,681.29,4155.216667
2,2,195.56,654.968,896.504,75333.562,846.51,432.694,616.584,3849.474
3,2,217.992,404.1975,852.238,80450.626,365.5425,410.27,749.102,5840.88
4,2,152.078,635.55,915.418,77447.654,807.58,433.452,657.456,4488.938
5,2,214.498,518.896,900.374,67878.406,763.77,384.494,653.872,5924.3
6,2,164.984,416.314,972.974,73156.804,612.738,238.284,514.172,4515.45
7,2,183.0333333,498.2625,960.72,75769.615,742.4225,450.515,622.4525,3904.493333
8,2,125.886,628.02,926.562,72202.89,723.245,372.858,759.032,5126.115
9,2,175.932,482.72,976.286,81874.816,658.392,439.908,821.096,6002.918
10,2,184.562,471.192,1070.416,66462.326,909.42,420.408,638.11,5257.5025
11,2,140.26,518.088,754.372,67275.508,493.96,321.05,620.126,4760.7
12,2,143.97,489.54,818.874,74373.68,650.61,355.778,566.176,4591.944
13,2,197.132,504.85,913.894,56803.404,722.14,351.216,676.698,8111.738
